english0!!!.txt;0,023;;;0,227;0,017;0,350;0,002;0,003;0,037;0,029;0,002;0,141;0,084;0,082;0,002;2347
english0_space&paragraph!!!.txt;0,023;;;0,227;0,017;0,350;0,002;0,003;0,037;0,029;0,002;0,141;0,084;0,082;0,002;2347
farsi_abusaeed_norm.txt;;;;;;;;;;;;;;;;0
czech_Burroughs_E_R-Tarzan-20.pdb.txt;0,059;0,314;0,014;0,242;0,011;0,328;0,000;;0,031;;;;;;;14352
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;Сума:;19046
MX;0,002;0,011;0,000;0,011;0,001;0,015;0,000;0,000;0,001;0,000;0,000;0,002;0,001;0,001;0,000;
Sigma;0,002;0,008;0,000;0,006;0,000;0,008;0,000;0,000;0,001;0,000;0,000;0,001;0,000;0,000;0,000;
