english0!!!.txt;0,074;0,015;0,026;0,047;0,122;0,018;0,022;0,059;0,071;0,001;0,015;0,054;0,026;0,066;0,075;0,015;0,001;0,055;0,063;0,088;0,029;0,008;0,025;0,001;0,023;0,001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;31616
english0_space&paragraph!!!.txt;0,074;0,015;0,026;0,047;0,122;0,018;0,022;0,059;0,071;0,001;0,015;0,054;0,026;0,066;0,075;0,015;0,001;0,055;0,063;0,088;0,029;0,008;0,025;0,001;0,023;0,001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;31616
farsi_abusaeed_norm.txt;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,010;0,107;0,047;0,051;0,001;0,010;0,007;0,018;0,076;0,002;0,084;0,026;0,034;0,028;0,005;0,001;0,003;0,001;0,011;0,004;0,013;0,010;0,022;0,063;0,079;0,063;0,069;0,006;0,011;0,000;0,034;0,019;0,083;70205
czech_Burroughs_E_R-Tarzan-20.pdb.txt;0,079;0,017;0,019;0,038;0,086;0,002;0,003;0,025;0,047;0,022;0,033;0,061;0,035;0,057;0,080;0,027;0,000;0,035;0,045;0,050;0,033;0,039;0,000;0,000;0,021;0,023;0,020;0,007;0,025;0,000;0,001;0,006;0,008;0,001;0,016;0,001;0,013;0,008;0,001;0,004;0,013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;175393
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Сума:;308830
MX;0,060;0,013;0,016;0,031;0,074;0,005;0,006;0,026;0,041;0,013;0,022;0,046;0,025;0,046;0,061;0,018;0,000;0,031;0,039;0,046;0,025;0,024;0,005;0,000;0,017;0,013;0,012;0,004;0,014;0,000;0,001;0,004;0,005;0,001;0,009;0,000;0,007;0,005;0,000;0,002;0,007;0,002;0,024;0,011;0,012;0,000;0,002;0,002;0,004;0,017;0,000;0,019;0,006;0,008;0,006;0,001;0,000;0,001;0,000;0,002;0,001;0,003;0,002;0,005;0,014;0,018;0,014;0,016;0,001;0,002;0,000;0,008;0,004;0,019;
Sigma;0,046;0,010;0,011;0,023;0,052;0,003;0,004;0,017;0,029;0,013;0,019;0,035;0,020;0,034;0,047;0,015;0,000;0,021;0,027;0,031;0,019;0,022;0,004;0,000;0,012;0,013;0,012;0,004;0,014;0,000;0,001;0,004;0,005;0,001;0,009;0,000;0,007;0,005;0,000;0,002;0,007;0,002;0,024;0,011;0,012;0,000;0,002;0,002;0,004;0,017;0,000;0,019;0,006;0,008;0,006;0,001;0,000;0,001;0,000;0,002;0,001;0,003;0,002;0,005;0,014;0,018;0,014;0,016;0,001;0,002;0,000;0,008;0,004;0,019;
